Date_UTC,SML,SMU,SMR
2001-11-19 00:00:00,-480,112,-15.8
2001-11-19 00:01:00,-482,114,-15.8
2001-11-19 00:02:00,-516,116,-15.4
2001-11-19 00:03:00,-506,118,-15.0
2001-11-19 00:04:00,-470,122,-14.8
2001-11-19 00:05:00,-463,131,-14.4
2001-11-19 00:06:00,-471,135,-14.5
2001-11-19 00:07:00,-455,139,-14.4
2001-11-19 00:08:00,-442,130,-14.3
2001-11-19 00:09:00,-461,112,-14.4
2001-11-19 00:10:00,-470,100,-14.2
2001-11-19 00:11:00,-445,101,-13.8
2001-11-19 00:12:00,-422,111,-13.3
2001-11-19 00:13:00,-417,118,-13.1
2001-11-19 00:14:00,-420,131,-13.0
2001-11-19 00:15:00,-441,138,-13.9
2001-11-19 00:16:00,-453,139,-14.8
2001-11-19 00:17:00,-455,144,-14.6
2001-11-19 00:18:00,-455,147,-14.8
2001-11-19 00:19:00,-448,159,-15.0
2001-11-19 00:20:00,-438,156,-14.9
2001-11-19 00:21:00,-435,148,-15.1
2001-11-19 00:22:00,-444,143,-15.2
2001-11-19 00:23:00,-425,138,-15.4
2001-11-19 00:24:00,-376,136,-15.7
2001-11-19 00:25:00,-355,136,-15.9
2001-11-19 00:26:00,-345,136,-16.0
2001-11-19 00:27:00,-324,138,-16.1
2001-11-19 00:28:00,-322,142,-16.1
2001-11-19 00:29:00,-319,138,-16.2
2001-11-19 00:30:00,-317,127,-16.3
2001-11-19 00:31:00,-298,119,-16.4
2001-11-19 00:32:00,-287,116,-16.6
2001-11-19 00:33:00,-277,115,-16.8
2001-11-19 00:34:00,-268,109,-17.2
2001-11-19 00:35:00,-256,103,-17.3
2001-11-19 00:36:00,-247,101,-17.3
2001-11-19 00:37:00,-224,100,-17.4
2001-11-19 00:38:00,-217,97,-17.9
2001-11-19 00:39:00,-223,94,-18.2
2001-11-19 00:40:00,-217,95,-18.3
2001-11-19 00:41:00,-196,95,-18.6
2001-11-19 00:42:00,-198,95,-18.6
2001-11-19 00:43:00,-199,93,-18.6
2001-11-19 00:44:00,-196,89,-18.6
2001-11-19 00:45:00,-185,86,-18.4
2001-11-19 00:46:00,-174,84,-17.8
2001-11-19 00:47:00,-162,83,-17.4
2001-11-19 00:48:00,-143,79,-16.8
2001-11-19 00:49:00,-127,74,-16.2
2001-11-19 00:50:00,-122,70,-15.5
2001-11-19 00:51:00,-130,65,-14.7
2001-11-19 00:52:00,-133,63,-13.9
2001-11-19 00:53:00,-129,60,-13.1
2001-11-19 00:54:00,-129,56,-12.5
2001-11-19 00:55:00,-131,51,-11.9
2001-11-19 00:56:00,-131,51,-11.6
2001-11-19 00:57:00,-130,54,-11.2
2001-11-19 00:58:00,-128,57,-10.9
2001-11-19 00:59:00,-127,62,-10.8
2001-11-19 01:00:00,-124,67,-10.7
2001-11-19 01:01:00,-121,72,-10.8
2001-11-19 01:02:00,-117,77,-10.6
2001-11-19 01:03:00,-116,80,-10.2
2001-11-19 01:04:00,-121,80,-9.8
2001-11-19 01:05:00,-124,82,-9.5
2001-11-19 01:06:00,-122,83,-9.2
2001-11-19 01:07:00,-117,85,-8.7
2001-11-19 01:08:00,-111,89,-8.5
2001-11-19 01:09:00,-113,110,-8.0
2001-11-19 01:10:00,-121,141,-7.7
2001-11-19 01:11:00,-125,143,-7.4
2001-11-19 01:12:00,-133,163,-6.9
2001-11-19 01:13:00,-138,175,-6.7
2001-11-19 01:14:00,-138,164,-6.7
2001-11-19 01:15:00,-141,155,-6.8
2001-11-19 01:16:00,-147,145,-6.7
2001-11-19 01:17:00,-152,140,-6.5
2001-11-19 01:18:00,-153,155,-6.3
2001-11-19 01:19:00,-154,174,-6.1
2001-11-19 01:20:00,-154,171,-6.1
2001-11-19 01:21:00,-163,168,-6.3
2001-11-19 01:22:00,-170,165,-6.3
2001-11-19 01:23:00,-179,152,-7.0
2001-11-19 01:24:00,-184,145,-7.0
2001-11-19 01:25:00,-189,133,-7.3
2001-11-19 01:26:00,-179,132,-7.4
2001-11-19 01:27:00,-177,135,-7.6
2001-11-19 01:28:00,-178,132,-7.9
2001-11-19 01:29:00,-187,138,-7.9
2001-11-19 01:30:00,-180,145,-8.0
2001-11-19 01:31:00,-180,154,-8.3
2001-11-19 01:32:00,-185,151,-8.6
2001-11-19 01:33:00,-194,161,-9.1
2001-11-19 01:34:00,-192,169,-9.0
2001-11-19 01:35:00,-189,171,-9.0
2001-11-19 01:36:00,-191,166,-8.9
2001-11-19 01:37:00,-199,167,-8.6
2001-11-19 01:38:00,-211,174,-8.8
2001-11-19 01:39:00,-219,162,-9.3
2001-11-19 01:40:00,-216,152,-9.8
2001-11-19 01:41:00,-219,147,-10.0
2001-11-19 01:42:00,-209,144,-10.2
2001-11-19 01:43:00,-211,140,-10.6
2001-11-19 01:44:00,-215,140,-10.1
2001-11-19 01:45:00,-214,150,-10.2
2001-11-19 01:46:00,-204,162,-10.1
2001-11-19 01:47:00,-203,165,-10.1
2001-11-19 01:48:00,-206,157,-10.2
2001-11-19 01:49:00,-218,157,-10.3
2001-11-19 01:50:00,-221,158,-10.4
2001-11-19 01:51:00,-222,158,-10.6
2001-11-19 01:52:00,-227,158,-10.8
2001-11-19 01:53:00,-230,155,-11.1
2001-11-19 01:54:00,-226,156,-11.6
2001-11-19 01:55:00,-224,162,-11.9
2001-11-19 01:56:00,-219,161,-12.0
2001-11-19 01:57:00,-217,160,-12.1
2001-11-19 01:58:00,-217,165,-12.1
2001-11-19 01:59:00,-213,167,-12.4
2001-11-19 02:00:00,-209,170,-12.7
2001-11-19 02:01:00,-200,168,-13.0
2001-11-19 02:02:00,-194,167,-13.2
2001-11-19 02:03:00,-191,172,-13.4
2001-11-19 02:04:00,-190,173,-13.5
2001-11-19 02:05:00,-187,178,-13.5
2001-11-19 02:06:00,-186,175,-13.2
2001-11-19 02:07:00,-191,171,-13.0
2001-11-19 02:08:00,-193,178,-12.7
2001-11-19 02:09:00,-196,184,-12.5
2001-11-19 02:10:00,-209,180,-12.5
2001-11-19 02:11:00,-213,166,-11.8
2001-11-19 02:12:00,-212,176,-12.0
2001-11-19 02:13:00,-222,176,-12.5
2001-11-19 02:14:00,-219,173,-13.3
2001-11-19 02:15:00,-213,178,-14.0
2001-11-19 02:16:00,-203,182,-14.5
2001-11-19 02:17:00,-202,189,-15.0
2001-11-19 02:18:00,-199,196,-15.8
2001-11-19 02:19:00,-192,197,-16.4
2001-11-19 02:20:00,-186,193,-16.9
2001-11-19 02:21:00,-188,190,-17.4
2001-11-19 02:22:00,-197,185,-17.7
2001-11-19 02:23:00,-191,188,-18.2
2001-11-19 02:24:00,-189,187,-18.3
2001-11-19 02:25:00,-189,180,-18.4
2001-11-19 02:26:00,-189,176,-18.6
2001-11-19 02:27:00,-186,170,-18.6
2001-11-19 02:28:00,-177,170,-18.8
2001-11-19 02:29:00,-177,170,-18.8
2001-11-19 02:30:00,-180,165,-18.7
2001-11-19 02:31:00,-182,161,-18.9
2001-11-19 02:32:00,-186,160,-18.9
2001-11-19 02:33:00,-187,155,-18.8
2001-11-19 02:34:00,-185,158,-18.7
2001-11-19 02:35:00,-183,158,-19.0
2001-11-19 02:36:00,-185,154,-18.9
2001-11-19 02:37:00,-191,152,-18.6
2001-11-19 02:38:00,-196,151,-18.4
2001-11-19 02:39:00,-191,154,-18.0
2001-11-19 02:40:00,-188,158,-17.8
2001-11-19 02:41:00,-188,158,-17.6
2001-11-19 02:42:00,-186,148,-17.8
2001-11-19 02:43:00,-189,136,-18.0
2001-11-19 02:44:00,-186,131,-18.5
2001-11-19 02:45:00,-177,128,-19.1
2001-11-19 02:46:00,-163,123,-19.5
2001-11-19 02:47:00,-150,117,-19.9
2001-11-19 02:48:00,-153,112,-20.2
2001-11-19 02:49:00,-152,111,-20.5
2001-11-19 02:50:00,-149,115,-20.9
2001-11-19 02:51:00,-143,120,-21.2
2001-11-19 02:52:00,-143,121,-21.3
2001-11-19 02:53:00,-142,117,-21.4
2001-11-19 02:54:00,-138,115,-21.4
2001-11-19 02:55:00,-130,116,-21.4
2001-11-19 02:56:00,-119,118,-21.0
2001-11-19 02:57:00,-112,124,-20.5
2001-11-19 02:58:00,-106,126,-19.6
2001-11-19 02:59:00,-97,126,-19.2
2001-11-19 03:00:00,-86,118,-18.7
2001-11-19 03:01:00,-78,117,-18.1
2001-11-19 03:02:00,-69,107,-17.8
2001-11-19 03:03:00,-61,97,-17.8
2001-11-19 03:04:00,-66,93,-17.5
